"排序","移动设备市场","使用量占比",
"1","iPhone 4S","21.72%",
"2","iPhone 5","17.88%",
"3","iPhone 5s","13.27%",
"4","iPhone 4","12.39%",
"5","iPad mini(WIFI)","6.13%",
"6","iPad 4(WIFI)","5.7%",
"7","iPad 2(WIFI)","4.47%",
"8","iPad Air(WIFI)","4.07%",
"9","iPhone 4(GSM)","3.45%",
"10","iPad 3(WIFI)","2.19%",
"11","iPad mini 2G(WIFI)","2.01%",
"12","iPhone 5c","1.58%",
"13","iPad 2(GSM)","1.17%",
"14","iPad 3(Global)","0.62%",
"15","iPad","0.58%",
"16","iPad mini(Global)","0.55%",
"17","iPad 4(Global)","0.54%",
"18","iPod Touch 4","0.45%",
"19","iPod Touch 5","0.44%",
"20","iPhone 3GS","0.29%",
"21","iPad Air(Cellular)","0.23%",
"22","iPad mini 2G(Cellular)","0.2%",
"23","iPad mini(GSM)","0.02%",
"24","iPod Touch 3","0.01%",
"25","iPad 4(GSM)","0.01%",
"26","iPad 3(CDMA)","0.01%",
"27","iPad 2(CDMA)","0.01%",
"28","iPhone 3G","0%",
"29","iPod Touch 2","0%",
"30","iPod Touch","0%",
"31","iPhone","0%",

"iPhone 4S移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.02.05","13.19%",
="2014.02.06","13.01%",
="2014.02.07","13.17%",
="2014.02.08","13.15%",
="2014.02.09","12.93%",
="2014.02.10","13.18%",
="2014.02.11","13.20%",
="2014.02.12","13.10%",
="2014.02.13","13.00%",
="2014.02.14","12.97%",
="2014.02.15","12.68%",
="2014.02.16","12.60%",
="2014.02.17","12.97%",
="2014.02.18","12.99%",
="2014.02.19","12.95%",
="2014.02.20","12.81%",
="2014.02.21","12.72%",
="2014.02.22","12.42%",
="2014.02.23","12.38%",
="2014.02.24","12.81%",
="2014.02.25","12.77%",
="2014.02.26","12.72%",
="2014.02.27","12.66%",
="2014.02.28","12.60%",
="2014.03.01","12.35%",
="2014.03.02","12.25%",
="2014.03.03","12.76%",
="2014.03.04","12.86%",
="2014.03.05","12.78%",
="2014.03.06","12.68%",
="2014.03.07","12.62%",
="2014.03.08","12.29%",
="2014.03.09","12.25%",
="2014.03.10","12.65%",
="2014.03.11","12.62%",
="2014.03.12","12.54%",
="2014.03.13","12.59%",
="2014.03.14","12.52%",
="2014.03.15","12.17%",
="2014.03.16","12.16%",
="2014.03.17","12.66%",
="2014.03.18","12.72%",
="2014.03.19","12.67%",
="2014.03.20","12.72%",
="2014.03.21","12.50%",
="2014.03.22","12.10%",
="2014.03.23","12.06%",
="2014.03.24","12.43%",
="2014.03.25","12.48%",
="2014.03.26","12.57%",
="2014.03.27","12.48%",
="2014.03.28","12.29%",
="2014.03.29","11.93%",
="2014.03.30","11.91%",
="2014.03.31","12.33%",
="2014.04.01","12.38%",
="2014.04.02","12.36%",
="2014.04.03","12.33%",
="2014.04.04","12.23%",
="2014.04.05","11.91%",
="2014.04.06","11.93%",
="2014.04.07","11.80%",
="2014.04.08","12.17%",
="2014.04.09","12.24%",
="2014.04.10","12.22%",
="2014.04.11","12.13%",
="2014.04.12","11.75%",
="2014.04.13","11.71%",
="2014.04.14","12.10%",
="2014.04.15","12.11%",
="2014.04.16","12.10%",
="2014.04.17","12.03%",
="2014.04.18","11.90%",
="2014.04.19","11.60%",
="2014.04.20","11.54%",
="2014.04.21","11.94%",
="2014.04.22","11.90%",
="2014.04.23","11.79%",
